Series Name,Series Code,Country Name,Country Code,1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,320.679810021232,317.02979833839,319.915391915237,356.335215384388,359.72926859058,346.668515520908,382.751431546522,399.465580740566,412.675398322459,404.606867366467,455.507973154417,461.400209497922,441.754917706501,427.506327495099,420.682610613286,644.457156981743,610.143231600736,599.789410758775,673.382966037094,774.785335734991,832.751137517234,909.032403273312,1012.18279419002,1087.51477702611,985.349300762774,1011.59718017727,1161.04432084751,1236.89276298823,1259.66836828623,1303.18536985282,1421.83527830089,1468.82208238833,1567.6406123353,1620.74259148331,1437.1658330724,1322.31478539554,1506.10829305917,1588.8798287911
GDP per capita (current US$),NY.GDP.PCAP.CD,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7416.48078677887,7913.45067581198,8220.48763286484,7744.6277665996,8297.89521273924,9603.79708537139,9805.92282990978,10270.4585355778,10380.2690817715,9960.84138956762,10029.28802589,10795.5646929825,11835.3839295665,12418.8261724235,13580.0067430883,15761.3633809149,16743.376740009,16011.6611537815,16152.3892325347,15738.4670127261,14349.3168192188,12921.8273205171,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Panama,PAN,2977.38897119566,3025.3472246947,2972.12831447948,2514.15393251871,2467.53530801093,2626.14328023876,2827.55838826176,3148.44753055729,3368.20278742197,3518.953402082,3524.8812713383,3561.29045759029,3775.57153627026,4012.05416513441,4121.56221968523,4099.00653989315,4084.2585357057,4163.52195937827,4304.10697986678,4629.02931602921,4953.12997978141,5385.56424337546,6205.82157550354,7197.11078610101,7618.43845900774,8124.55830734871,9403.43990821634,10767.2931788172,11932.2862205866,12837.2479584282,13669.5594424097,14382.2323819969,15185.9724813803,16156.0742859681,16472.8317470488,13293.3331951688,15491.2898013383,17357.628633794
GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PNG,702.910410899982,751.648805219022,873.20896761426,993.620829993457,942.180404221139,833.053663277474,948.985142297395,1058.34113596819,1159.13976042936,1236.11058389273,1004.24969904848,1077.18850442602,995.197259515472,737.413721028004,653.408134121648,639.279199918609,540.673889592354,509.030491857518,580.59816717438,624.03532132549,748.735073405033,1245.47417602948,1379.12699349288,1635.03956584558,1578.96862832112,1879.24055902232,2303.8266113635,2653.09278970276,2578.49864720758,2742.25004998231,2502.07344498028,2332.67588834678,2495.14077312932,2584.32780208122,2593.77555393227,2446.08468660615,2624.60411021362,3115.92292304288
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,928.426274250838,1024.19314894826,1062.04643527163,1106.97184745994,1204.09653762574,1431.83920038625,1675.7136434161,1673.44837156734,1652.8043214394,1750.93547791783,1968.35248659417,2077.4848286906,2068.20837812986,1880.89316502001,1758.26019288757,1728.34074341006,1630.1908460827,1361.24928059287,1436.76490433294,1776.93225816866,1960.51476554933,2426.41709770871,3194.26298162817,4360.4291089526,3920.18607071017,4725.72634101583,5776.2818479967,5617.10491786787,6410.81470278733,6629.41699277341,5861.40189546648,5759.04219789251,6136.0583014952,6242.96145417898,5807.83879407975,5353.34806456279,5959.44179393627,6153.05565720044
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,761.871946535725,1077.64275160349,1767.34708115053,730.20976255024,1040.47516364189,1194.54831527969,1520.67736235824,1560.54650443571,1481.34098915924,1871.3921088991,2180.56663897168,2218.32174731966,2292.39651714831,2149.70106301576,1911.73501688306,1941.318259717,1925.97942030475,2003.97108061855,2126.13782387391,2393.66589710452,2702.23770075461,3123.32015935927,3572.36358879114,4184.88598248749,4164.97048299155,5047.2046433225,5826.83230656078,6475.72044267849,6697.18774707052,6614.83081997934,6180.11926810233,6163.86042474328,6676.30879274916,6912.10398761205,6955.88082448096,6063.62692279047,6635.46414809173,7125.82993135746
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,637.835973445519,605.726348647509,658.2142903174,734.430279626645,806.850449398255,820.487180286668,821.452244358119,936.148563967963,938.762280836084,1081.43430701202,1222.29251544527,1334.10565630149,1294.11197218521,1000.00668971786,1123.16357149152,1073.26443619332,991.147982051369,1037.17478776606,1049.38649463156,1122.85552182107,1245.2865836997,1452.22140548112,1741.60351144895,1990.35612886581,1893.28164063577,2201.77682813479,2431.19996066282,2671.77752181561,2847.56794274704,2935.92859830401,2974.29691673713,3038.15203684461,3077.43441889625,3194.67270132209,3413.84904430419,3224.42281121767,3460.53938169242,3498.5098055874
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,..,..,..,..,..,1731.2095094382,2235.54108862522,2459.02068468253,2497.13055936127,2874.83163555069,3686.84514580278,4147.46550145483,4123.14567666725,4518.10822630174,4398.07217426732,4501.47996121234,4991.24435799511,5207.129304207,5701.63886301914,6681.30975087388,8021.54789037388,9035.53275810927,11254.3140875349,13995.7811598115,11525.9007370991,12504.2501856093,13776.3883624327,13010.7555868425,13558.3411314221,14181.9486817352,12560.051419682,12378.8117641782,13815.4999463758,15504.5089370714,15700.0135796738,15816.8204021382,18050.2794441161,18688.0044867103
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,2705.19300197317,3861.9484333688,4803.86609546941,5623.69699982123,6056.38102771889,7884.61798756332,8958.9853330247,10810.5665079626,9534.6563637308,9977.31990905771,11781.3618502221,12185.0914010629,11575.5071124358,12199.206385024,12475.2917701476,11526.3720667968,11734.7649743954,12936.6928204482,15797.7821340276,18064.1580932987,18780.12751241,19839.4540499032,22811.0564844365,24949.0413566739,23151.2154130712,22520.6423124045,23217.2954965207,20563.7136012629,21653.1959752225,22103.7009703321,19250.1065376852,19991.9724878805,21490.429863104,23562.5545228191,23330.817288932,22242.406417972,24661.1664874576,24515.2658507319
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico,PRI,6008.05448623038,6455.18446107614,6980.49014338219,7595.44465611829,8033.08944133042,8652.50749222505,9064.01851711486,9659.33889995916,10212.2767630564,10876.4188239898,11579.1849969985,12173.163688986,12817.6449621352,14304.4049868015,15220.9913420267,16192.1269719638,18123.1987019918,18731.4593897378,19557.1202492358,20988.9923326534,21959.322696986,22935.9411586313,23664.8823485096,24898.3345857045,25768.7258883384,26435.74878578,27278.8830499205,27944.7338937424,28513.1657351067,28981.4573305866,29763.4883013861,30627.1634017011,31108.7527508912,31615.0667918433,32916.866800639,31427.4291136799,32601.5656391821,35208.6371888414
